Chuck Qty,Chuck Price,Porter Qty,Porter Price,Ribeye Qty,Ribeye Price
120,2.28,53,6.04,74,7.02
76,2.61,81,5.37,79,7.16
102,2.12,60,5.74,71,7.33
106,2.41,65,6.93,112,7.38
87,2.39,92,5.95,113,6.47
94,2.11,157,5.24,89,7.14
97,2.66,149,5.39,146,7.02
79,2.5,133,5.54,120,6.28
138,2.39,97,6.28,120,7.57
129,2.3,113,5.43,106,6.72
77,2.69,78,5.46,76,7.73
94,2.44,123,4.81,93,7.71
135,2.23,87,5.49,83,6.74
120,2.45,73,5.54,136,6.87
131,2.24,88,5.76,119,7.11
104,2.41,108,5.28,114,7
144,2.24,82,6.05,151,6.7
139,2.08,148,5.34,248,7.08
98,2.42,155,5.1,201,6.54
112,2.47,45,6.88,168,6.46
184,2.34,97,5.67,165,6.72
98,2.33,82,5.65,105,6.89
109,2.35,65,6.38,88,7.69
135,2.35,53,6.22,108,7.44
132,2.22,63,5.86,182,6.65
142,2.38,59,6.72,150,6.72
128,2.45,55,7.12,144,7.51
94,2.53,49,6.54,121,7.8
93,2.34,92,6.7,161,7.4
126,2.48,88,6.91,280,6.64
83,2.4,65,7.33,170,6.68
109,2.54,92,6.7,165,7.73
112,2.46,41,7.75,106,8.2
83,2.86,42,7.22,104,8.32
90,2.9,56,7.57,91,9.74
77,3.03,30,8.4,63,9.87
86,2.83,41,6.65,67,9.92
165,2.55,51,6.94,111,8.48
109,2.25,25,7.4,118,7.51
89,2.37,34,7.45,107,8.27
125,2.27,54,7.51,125,8.27
108,2.28,33,8.6,117,8.86
88,2.52,34,8.54,119,8.55
101,2.64,41,8.36,143,8.87
85,2.64,51,6.98,100,7.48
113,2.61,45,6.88,82,8.2
85,2.69,27,7.19,73,8.59
90,2.67,31,7.08,70,8.1
